Taxon,Count
Xylariaceae sp. YX-28,1
LD29,2
Ascidiaceihabitans,1
Lophotrochozoa,8
uncultured Nitrospira sp.,2
Mucor rudolphii,1
uncultured Burkholderia sp.,3
Halobacillus,5
Vibrio cholerae,1
Kordiimonadales,1
Kineosporiales,12
Monoglobaceae,2
Pseudokeronopsis,1
Caryophanon,1
Entomoplasmatales,2
bacterium Ep06i_A10B,1
NK4A214 group,1
Streptomyces lincolnensis,1
Auriculariales,1
Clostridium beijerinckii,1
uncultured Sphaerobacter sp.,1
RF39,1
cvE6,2
Bacillus sp. (in: Bacteria),6
Pseudomonas sp. RKS1-1,1
Paenibacillus thiaminolyticus,1
Lentzea aerocolonigenes,1
Thiotrichaceae,1
Arachis hypogaea (peanut),1
Longimicrobia,2
Methylobacterium-Methylorubrum,2
Clostridium argentinense,1
uncultured Nocardioides sp.,2
Pla4 lineage,2
Gonyaulacales,1
Halieaceae,2
uncultured Candidatus Saccharibacteria bacterium,2
Palpitomonas bilix,1
Spirochaetales,2
R7C24,5
Paludibacter,1
Rhizobacter sp. Root1221,1
Microcystaceae,4
Actinomadura,1
Rhynchosporium secalis (leaf blotch of barley),1
Geomyces sp. MF581,1
Lachnospirales,22
Spirochaeta 2,1
Streptosporangiaceae,4
Xylobotryum,1
Pseudomonas sp. II-43,1
Ga0074140,2
Lepraria oxybapha,1
Ochrophyta,6
Stereopsis,1
Laceyella sp. FBKL4.010,1
candidate division TM6 bacterium GW2011_GWF2_32_72,1
Janthinobacterium lividum,1
SHA-26,1
Ophiomusium cf. glabrum NHM_329,1
Fibrobacterota,2
Micromonospora avicenniae,1
Pedobacter,1
Renibacterium salmoninarum,1
Magnetospirillaceae,1
Texosporium sancti-jacobi,1
uncultured Diplorickettsia sp.,1
Staphylococcus,6
Geobacillus,2
Cladosporium sp. CBS 266.53,1
Nocardioides sp. PD653,1
Beijerinckiaceae,16
Candidatus Daviesbacteria bacterium RIFCSPLOWO2_01_FULL_40_24,1
Niorma,1
Kineococcus,1
Chlorociboriaceae,1
Hypocrella siamensis,1
Bagnisiella examinans,1
Leifsonia bigeumensis,1
Oculatella ucrainica KZ-5-4-1,1
uncultured sludge bacterium H39,1
uncultured Cellulomonadaceae bacterium,2
UBA10353 marine group,2
Erysipelotrichales,8
Halanaerobiaceae,1
Sulfitobacter sp.,1
uncultured Holophaga sp.,3
Snowella 0TU37S04,1
Uroglena sp. CCMP2768,1
Chaetosphaeridium,1
Ureaplasma miroungigenitalium,1
Viburnum prunifolium,1
Spirosomaceae,1
Amphilinidea,1
Dacrymycetales,1
Paenibacillus sp. IARI-L-130,1
Rhodoplanes serenus,1
Sumerlaeaceae,5
Clostridium sensu stricto 18,4
mle1-7,3
Malassezia,1
Duganella sp. Root198D2,1
Brevibacillus sp.,1
Ascomycota (ascomycetes),1
Plantibacter sp. Enf69,1
Conoidasida,2
Planctonema lauterbornii,1
Podocopida,1
A0839,2
Sporosarcina psychrophila,2
uncultured Eimeriidae,3
Promicromonospora,1
Aspergillaceae,1
Candidatus Protochlamydia,12
Paeniclostridium,20
Spiroplasma sp. macrobrachium-9,1
uncultured Anaerolineae bacterium,1
Lulworthiaceae,1
Filomicrobium,1
Candidatus Doudnabacteria,1
Terribacillus,1
Rhodospirillum rubrum F11,1
Oryza longistaminata,1
Aneurinibacillales,2
GWA2-38-13b,1
Subgroup 15,1
Cairneyella variabilis,1
Streptomyces sp.,2
Streptomyces calidiresistens,1
Listeria floridensis FSL S10-1187,1
Bemisia tabaci,1
Actinoplanes friuliensis DSM 7358,1
Hemiptera,1
Polycystinea,1
uncultured Sphingomonas sp.,2
Neochlamydia endosymbiont of Acanthamoeba sp.,1
Asclepias tuberosa,1
Erysipelotrichaceae UCG-009,1
Sutterellaceae,2
uncultured Caldilineaceae bacterium,2
Caldatribacteriales,2
Dermacoccaceae,1
Caldisericaceae,8
Sumerlaeales,5
Aeromonadaceae,2
Candidatus Levybacteria bacterium GW2011_GWB1_39_7,1
Microcystis PCC-7914,1
Brevibacillus,1
Annelida,2
Burkholderia sp.,1
Hirsutella minnesotensis 3608,1
uncultured Sporichthya sp.,1
Rhodospirillaceae,5
Brevibacillaceae,1
Candidatus Methylopumilus,2
uncultured bacterium DA057,1
Bacillus sp. S18,1
Micropepsis,1
Agrococcus carbonis,1
Gomphillus americanus,1
Choanoflagellata,2
Listeria,3
Aeromonas,2
Puccinia purpurea,1
freshwater sediment metagenome,2
Devosia,3
Halobacillus trueperi,1
Caloramator,1
uncultured Enterobacteriaceae bacterium,1
Barranca multiflagellata,1
Roussoellaceae,1
Vibrionaceae,4
Bacillus solimangrovi,1
Kineosporia mesophila,1
Prasiola crispa,1
Trichlorobacter,1
Desulfuromonadaceae,1
Halobacillus sp. CR3,1
Nitrospinota,3
Acinetobacter baumannii ATCC 19606 = CIP 70.34 = JCM 6841,1
Equisetum telmateia (giant horsetail),1
Longimicrobiaceae,2
RCP2-54,2
Staphylococcus sp.,1
Moraxellaceae,5
uncultured Acidobacteriaceae bacterium,3
Nitrosospira sp. NpAV,1
Pseudomonas meridiana,1
Methanobacteriales,2
Bacillus sporothermodurans,1
Rhodanobacter,5
Anaeromyxobacteraceae,1
