Taxon,Count
Blastocatellales,8
uncultured low G+C Gram-positive bacterium,2
uncultured Rhodoplanes sp.,5
uncultured fungus,65
Coxiellales,9
Omnitrophales,13
Gossypium barbadense (sea-island cotton),9
Burkholderiaceae,18
Pilaira,6
Desulfuromonadia,70
Jatrophihabitans,14
Pseudomonas putida B6-2,2
Caulobacterales,21
Klebsiella,9
Mitochondria,60
Rhodocyclaceae,16
SAR324 clade(Marine group B),8
Paenibacillales,98
uncultured Verrucomicrobia bacterium,27
Bacteria,5144
Nitrospirales,12
uncultured Acidimicrobiales bacterium,5
Solirubrobacterales,68
Aquisphaera,7
Gaiellales,131
Gaiellaceae,22
Bradyrhizobium,44
uncultured proteobacterium,31
Incertae Sedis,244
unidentified,5
Ammopiptanthus mongolicus,11
Pertusariales,3
Hypocreales,60
Chthoniobacter,15
Gaiella,22
Anaeromyxobacteraceae,21
Chlamydiae,54
Isosphaerales,16
Chitinophagaceae,47
Latescibacterota,29
Fungi,622
AT-s3-28,2
Haliangiales,72
Mucoromycotina,97
Cellulomonas,2
uncultured Rhodocyclaceae bacterium,7
S-BQ2-57 soil group,11
Armatimonadota,22
Bryobacter,49
Heterocephalacria,7
uncultured actinobacterium,37
Gemmatimonadaceae,110
Filobasidiales,15
Paenibacillus sp. AD87,3
Reyranellales,11
Rhodospirillales,14
Cellulomonadaceae,2
Geobacterales,69
Dikarya,413
Geobacter,37
Roseiarcus,7
Ilumatobacteraceae,17
MND1,37
Obazoa,696
Archaeplastida,163
Nucletmycea,625
Mucorales,90
uncultured Armatimonadetes bacterium,4
GOUTA6,29
Bradyrhizobium sp.,4
Pucciniomycetes,8
Pseudomonadales,122
Rhodospirillaceae,4
Pseudomonadaceae,114
Klebsiella pneumoniae,6
Erwinia,3
Mucoraceae,50
Microtrichales,31
JG36-GS-52,2
uncultured Thermoflavimicrobium sp.,2
Mucor lilianae,2
Gemmatimonas,30
Ascomycota,254
Neonectria lugdunensis,2
uncultured Parcubacteria group bacterium,7
uncultured Bacillus sp.,16
Candidatus Nomurabacteria,17
Subgroup 2,92
Actinobacteria,277
uncultured,1173
Gymnosporangium,7
Agaricomycotina,136
Mortierella verticillata,3
A0839,12
Gammaproteobacteria,705
uncultured planctomycete,34
Polyangia,139
Bacillus sp. LF1,2
Yersiniaceae,15
Sphingomonadaceae,13
IMCC26256,77
Pucciniomycotina,14
Bacilli,403
Candidatus Omnitrophus,6
Microscillaceae,15
SC-I-84,48
Methylomirabilota,26
uncultured Alphaproteobacteria bacterium,49
Methylomirabilia,26
Desulfobacterota,86
Chthoniobacteraceae,89
Cyanobacteriia,69
Serratia marcescens,3
Cyanobacteria,79
Mortierellaceae,64
ADurb.Bin063-1,6
uncultured organism,30
Streptococcus pneumoniae,9
MB-A2-108,32
Bacillales,224
Patescibacteria,223
Bacteroidota,135
Planctomycetota,295
Candidatus Solibacter,61
Sphingomonas,7
Rhodoplanes,37
Bdellovibrionota,62
Clavulicium macounii,2
11-24,9
Pucciniaceae,8
Candidatus Kaiserbacteria,21
0319-6G20,32
Solibacterales,61
Coxiellaceae,9
Nitrospiria,12
Terrimonas,9
zygomycete sp. AM-2008a,8
IS-44,31
Mucor racemosus,5
Streptococcaceae,17
Methylacidiphilales,5
Bacillus niacini,5
Lecanoromycetes,12
Pirellulaceae,60
Coxiella,9
Lecanicillium sp. CCF 5201,2
Pezizomycotina,237
Agaricomycetes,102
Mortierella verticillata NRRL 6337,2
Streptophyta,142
Myxococcales,34
Mucor mucedo,2
Acidobacteriae,319
Tracheophyta,136
Firmicutes,479
Acidothermaceae,37
Phenylobacterium,5
Geobacteraceae,68
Cytophagales,19
Bacillus bataviensis,3
Omnitrophia,13
MBNT15,7
Tremellomycetes,32
Spermatophyta,133
Streptococcus,16
Rickettsiales,67
Enterobacterales,46
Pseudolabrys,39
Comamonadaceae,18
Elsterales,49
uncultured Beijerinckiaceae bacterium,2
JG36-TzT-191,15
Verrucomicrobiae,188
Sordariomycetes,91
Paenibacillus,97
Rhizobacter,7
Acidothermus,37
Nitrospira,12
Pertusaria,2
Gossypium hirsutum (upland cotton),4
Pertusaria andersoniae,2
uncultured Acidobacteria bacterium,203
Serratia,13
Erwiniaceae,3
Micropepsaceae,24
SBR1031,23
Parachlamydiaceae,30
Haliangium,72
Phaselicystidaceae,9
Opisthokonta,696
S085,10
Bacillus sp. IMM06,2
Micrococcales,53
Dehalococcoidia,14
Bauldia,28
Parengyodontium,5
uncultured beta proteobacterium,56
Eukaryota,956
Blastocatellaceae,8
Candidatus Udaeobacter,72
Caulobacteraceae,10
Bacillus,185
Frankiaceae,17
Acidobacteriota,703
Pseudomonas,114
Clavulicium,4
A21b,15
Mucor luteus,2
Gemmatimonadota,112
966-1,3
uncultured Planctomyces sp.,5
Myxococcota,173
uncultured Chitinophagaceae bacterium,4
Puia,4
uncultured Acidothermaceae bacterium,2
Holophagae,61
Actinobacteriota,638
Chlamydiales,54
Pirellulales,60
uncultured Burkholderiales bacterium,2
Pilaira anomala,2
Subgroup 5,5
Paenibacillus sp. MAEPY1,2
Reyranella,10
Haliangiaceae,72
FCPU426,6
JGI 0001001-H03,8
FFCH5858,3
P2-11E,14
Phragmoplastophyta,142
Enterobacteriaceae,16
WCHB1-41,2
Proteobacteria,1382
Caenimonas,2
Lecanicillium sp. CCF 5233,2
Thermoleophilia,205
soil metagenome,3
Solibacteraceae,61
Nitrospiraceae,12
Chloroplast,56
uncultured Bacillaceae bacterium,5
Pucciniales,8
Sulfuritalea,6
Ellin6067,53
Chloroplastida,161
uncultured gamma proteobacterium,11
Gitt-GS-136,9
Bacteroidia,125
Subgroup 7,59
Blastocatellia,101
Clavulinaceae,4
Myxococcia,34
Micropepsales,24
Pertusariaceae,2
KD4-96,58
Acidobacteriales,108
Burkholderiales,363
Mucor rudolphii,3
Pedosphaeraceae,53
Acidimicrobiia,118
Nitrospirota,16
Sediminibacterium,2
Pyrinomonadaceae,81
uncultured Mucorales,2
Bacillus senegalensis,2
RB41,81
Mortierellomycotina,68
Rhizobiales,389
Magnoliophyta,129
uncultured bacterium,2637
Rhizobiales Incertae Sedis,39
Tolypocladium inflatum,2
Cantharellales,9
Chthoniobacterales,95
unidentified eubacterium clone BSV45,2
KF-JG30-B3,14
Charophyta,143
Alphaproteobacteria,677
Rokubacteriales,26
Paenibacillus sp. MAEPY2,2
Mortierellales,68
Xanthobacteraceae,228
uncultured bacterium DA066,2
Nicotiana attenuata,4
Gemmatimonadetes,110
Beijerinckiaceae,30
Vicinamibacteria,196
Candidatus Protochlamydia,9
uncultured soil bacterium PRR-10,2
Filobasidiaceae,12
Bryobacterales,49
uncultured Tremellaceae,4
OM190,22
Pedosphaerales,53
Planctomycetales,16
Paenibacillaceae,98
AD3,44
Verrucomicrobiota,259
Amorphea,708
Candidatus Yanofskybacteria,5
Sphingomonadales,13
Vicinamibacterales,170
Gallionellaceae,7
uncultured forest soil bacterium,15
uncultured eubacterium WD244,2
uncultured soil bacterium,75
Nitrosomonadaceae,168
Bacillaceae,195
WPS-2,8
Gallionella,6
Oligoflexia,36
Mucoromycota,176
Frankiales,87
uncultured Acidobacteriales bacterium,12
Kiritimatiellae,2
Gymnosporangium unicorne,2
Basidiomycota,159
metagenome,378
Pseudomonas fluorescens,8
uncultured Rhizobiales bacterium,8
Pseudomonas gessardii,2
Solirubrobacteraceae,48
Gemmatimonadales,110
Isosphaeraceae,16
Pyrinomonadales,81
Cordycipitaceae,10
Reyranellaceae,11
uncultured Anaerolineaceae bacterium,4
Anaerolineae,46
Chitinophagales,54
Pla4 lineage,8
Polyangiales,54
Bryobacteraceae,49
Anaeromyxobacter,21
Pseudomonas syringae pv. pisi,2
Lactobacillales,36
Phaselicystis,9
Embryophyta,142
Chloroflexi,280
Omnitrophaceae,6
Mucor,33
Methylacidiphilaceae,5
uncultured Acidobacteriaceae bacterium,8
cvE6,9
Mortierella,64
Parcubacteria,101
B1-7BS,8
Planctomycetes,202
