Taxon,Count
Mortierella,7
Parachlamydiaceae,37
Polyporales sp.,2
Ellin6067,16
Eurotiomycetes,17
Dicranophora,2
zygomycete sp. AM-2008a,4
Frankiales,112
uncultured Caldilinea sp.,2
Nitrospirales,11
Bradyrhizobium sp.,6
Pedosphaeraceae,20
Eurotiales,12
KD4-96,39
Eukaryota,612
actinobacterium YJF2-33,2
Patescibacteria,61
uncultured Acidobacteria bacterium,135
Oligoflexia,34
Subgroup 7,37
Tracheophyta,99
Mucoromycotina,53
Solibacteraceae,33
Verrucomicrobiae,184
Cordycipitaceae,9
Myxococcaceae,13
Caulobacteraceae,27
Planctomycetota,349
Citrus maxima,5
Acidisoma,3
Haliangiaceae,44
Methyloligellaceae,18
Ascomycota,218
Unknown Family,36
Clavulinaceae,3
Spermatophyta,99
Chthoniobacteraceae,138
uncultured Alphaproteobacteria bacterium,44
Sordariomycetes,66
Hypocreales,46
Bryobacter,27
Mortierellales,7
Dehalococcoidia,4
Neochlamydia,15
Simkaniaceae,14
Pseudomonas sp.,4
Trichoderma deliquescens,2
Stereopsis globosa,3
Bryobacteraceae,27
uncultured gamma proteobacterium,16
Nucletmycea,375
Burkholderia-Caballeronia-Paraburkholderia,21
Solibacterales,33
uncultured Cystobacterineae bacterium,2
bacteriap25,8
Serratia,5
Triticum aestivum (bread wheat),6
ABY1,3
Thermoleophilia,330
Mycobacterium,67
uncultured Acidobacterium sp.,2
Fusarium,4
Gaiella,32
Magnoliophyta,96
Mucoraceae,40
Pseudogymnoascus,20
Enterobacterales,14
Parengyodontium,4
Acidobacteriales,155
Acidibacter,29
Chthonomonadales,14
Charophyta,99
Acetobacterales,34
Gammaproteobacteria,361
Anaerolineae,39
Pseudomonadales,23
Dicranophora fulva,2
uncultured,1069
Mucor genevensis,2
Circinella simplex,2
Pseudonocardiaceae,96
Paenibacillaceae,72
Calycina,2
Embryophyta,99
Aspergillaceae,8
Mitochondria,43
Gammaproteobacteria Incertae Sedis,35
Conexibacter,59
Microtrichales,33
Pedosphaerales,20
Pseudomonadaceae,19
Acetobacteraceae,33
Rhodanobacter,7
Paenibacillales,72
Bjerkandera,2
Pseudonocardiales,96
Pseudogymnoascus destructans,10
Burkholderiales,153
Acidobacteriaceae (Subgroup 1),31
Burkholderiaceae,23
Obazoa,424
uncultured Conexibacter sp.,6
Trichoderma sp. H09,2
Micropepsales,17
Candelariales,2
Azospirillales,10
Myxococcales,14
P2-11E,5
Paenibacillus sp. AD87,5
Parachlamydiaceae bacterium CRIB38,2
uncultured Dokdonella sp.,2
Actinobacteriota,950
Phragmoplastophyta,99
Bryobacterales,27
Rhizobiales,336
Polyporales,7
Mucor mucedo,2
Inquilinaceae,5
Bacteroidia,50
Chitinophagales,31
Mucor lanceolatus,2
Edaphobacter,5
Pycnora,2
Subgroup 2,48
Xylariaceae,3
Bradyrhizobium erythrophlei,3
uncultured Nitrospira sp.,6
Clavulicium,3
Nitrospira,11
Paenibacillus,71
Haliangiales,44
Acidobacteriota,464
Ammopiptanthus mongolicus,9
Trichoderma atroviride IMI 206040,2
Streptophyta,99
Mucor,32
JG36-TzT-191,8
Phanerochaetaceae,2
Pseudomonas,19
Sphingomonadales,13
Mucor rudolphii,4
Corynebacteriales,90
uncultured Anaerolineaceae bacterium,2
uncultured proteobacterium,25
Mucor lilianae,2
SBR1031,23
Agaricomycetes,64
Agaricales,22
Candidatus Udaeobacter,122
Leuconeurospora pulcherrima,2
67-14,79
uncultured Archangiaceae bacterium,2
Actinobacteria,472
Chitinophagaceae,27
Dikarya,302
Mucor racemosus,3
Terrimonas,3
Incertae Sedis,96
Cantharellales,4
Xylomelasma sp. EMSL 2471,2
IMCC26256,69
ADurb.Bin063-1,2
Xanthobacteraceae,209
uncultured beta proteobacterium,22
Proteobacteria,973
WD260,14
Gaiellales,151
Leotiomycetes,62
Planctomycetes,289
11-24,7
Trichoderma hamatum,2
Verrucomicrobiota,252
Myxococcia,14
uncultured bacterium,2123
Ambomucor seriatoinflatus,2
Bradyrhizobium,64
Penicillium solitum,2
Holophagae,37
Gitt-GS-136,7
Coxiellaceae,12
Xanthomonadales,19
Hypoxylon,2
Mortierellaceae,7
Helotiales,29
Archaeplastida,110
Elusimicrobiota,32
Gemmatales,156
Haliangium,44
Solirubrobacterales,175
Mycobacteriaceae,67
Chloroplastida,108
Blastocatellia,80
uncultured Prosthecobacter sp.,3
uncultured Caldilineaceae bacterium,4
S085,4
uncultured organism,28
Ambomucor,2
Nitrospirota,13
Solirubrobacter,20
Pseudogymnoascus sp. VKM F-3808,2
A0839,9
Phycisphaerae,36
Ferruginibacter,4
Anaerolineales,4
Basidiomycota,84
Cucumis sativus (cucumber),3
Candidatus Solibacter,33
Pseudonocardia,79
uncultured Steroidobacter sp.,3
uncultured Spartobacteria bacterium,20
P3OB-42,7
Coxiellales,12
Chlamydiales,63
Pyrinomonadales,64
uncultured Ferrimicrobium sp.,3
uncultured actinobacterium,45
WD2101 soil group,25
Rhodoplanes,20
Armatimonadota,29
Hygrocybe,5
Cyanobacteriia,48
Solirubrobacteraceae,96
Myxococcota,94
Gaiellaceae,32
Blastocatellales,7
uncultured Aciditerrimonas sp.,5
Micropepsaceae,17
Elusimicrobia,6
Bacteroidota,53
Rhodanobacteraceae,11
RB41,64
Rhodovastum,4
Hygrocybe noninquinans,2
Phenylobacterium,16
Fungi,373
MBNT15,12
Pezizomycotina,211
Pycnora sorophora,2
Streptococcus pneumoniae,4
Lecanicillium sp. CCF 5201,2
Sphingomonadaceae,13
Opisthokonta,424
JGI 0001001-H03,5
Pseudorhodoplanes,3
Lineage IIa,14
Mucorales,52
Xylariales,4
Chloroflexi,247
Lineage IV,6
fungal sp.,4
0319-6G20,29
TK10,29
Pycnoraceae,2
uncultured Bacteroidetes bacterium,2
Pyrinomonadaceae,64
Mucoromycota,64
Nicotiana tabacum (common tobacco),6
Chlamydiae,63
Inquilinus,5
Rickettsiales,45
Elsterales,48
Coxiella,12
Streptococcus,7
Serratia marcescens,2
Acidothermus,53
Hygrophoraceae,6
uncultured planctomycete,52
Agaricomycotina,69
Pseudogymnoascus sp. VKM F-3775,2
Geomyces sp. MF569,2
uncultured Dikarya,7
Bdellovibrionota,44
Vicinamibacteria,74
Pseudogymnoascus pannorum,3
uncultured eubacterium WD2103,2
Chloroplast,36
Cyanobacteria,55
Bacteria,4052
Salix integra,2
Nectriaceae,4
Frankiaceae,29
Jatrophihabitans,27
Gemmataceae,156
Nitrosomonadaceae,45
metagenome,273
Trichoderma,22
Chthonomonadetes,14
Nitrospiria,11
Tepidisphaerales,25
Amorphea,434
Opitutaceae,5
Bacilli,184
JG30-KF-CM66,7
Penicillium,5
Trichoderma gamsii,2
Anaerolineaceae,4
Lactobacillales,22
AD3,33
Firmicutes,254
Leotiomyceta Incertae Sedis,2
Alphaproteobacteria,612
Caulobacterales,32
mle1-7,5
Candidatus Magasanikbacteria,2
Mucor fuscus,4
Rhodopseudomonas,4
uncultured Conexibacteraceae bacterium,11
Dokdonella,4
Paenibacillus pabuli,3
Mortierellomycotina,7
Chthoniobacterales,148
Calycina herbarum,2
Opitutales,7
Polyangia,72
Acidobacteriae,268
Streptococcaceae,7
Passiflora alata,2
Planctomycetales,11
uncultured soil bacterium,64
Humulus lupulus (European hop),2
soil metagenome,2
Pseudonocardia asaccharolytica,2
Vicinamibacterales,66
Yersiniaceae,5
uncultured Verrucomicrobia bacterium,32
Blastocatellaceae,7
Acidimicrobiia,115
uncultured Sporichthyaceae bacterium,3
Nitrospiraceae,11
Acidothermaceae,53
Hypocreaceae,22
