count,species,genus,family,order,class,phylum,kingdom,superkingdom
42544,Pseudomonas fluorescens,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,-,Bacteria
797,Pseudomonas chlororaphis,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,-,Bacteria
297,Pseudomonas syringae,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,-,Bacteria
21,Tessaracoccus sp. MC1865,Tessaracoccus,Propionibacteriaceae,Propionibacteriales,Actinomycetia,Actinobacteria,-,Bacteria
4,Aromatoleum bremense,Aromatoleum,Rhodocyclaceae,Rhodocyclales,Betaproteobacteria,Proteobacteria,-,Bacteria
32,Actinoplanes sp. NBRC 14428,Actinoplanes,Micromonosporaceae,Micromonosporales,Actinomycetia,Actinobacteria,-,Bacteria
6,Rhodoferax sp. AJA081-3,Rhodoferax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,-,Bacteria
36,Micrococcus luteus,Micrococcus,Micrococcaceae,Micrococcales,Actinomycetia,Actinobacteria,-,Bacteria
405,uncultured Acidobacteria bacterium,-,-,-,-,Acidobacteria,-,Bacteria
80,Sus scrofa,Sus,Suidae,Artiodactyla,Mammalia,Chordata,Metazoa,Eukaryota
6,Actinoplanes ianthinogenes,Actinoplanes,Micromonosporaceae,Micromonosporales,Actinomycetia,Actinobacteria,-,Bacteria
92,Curtobacterium flaccumfaciens,Curtobacterium,Microbacteriaceae,Micrococcales,Actinomycetia,Actinobacteria,-,Bacteria
13,Pseudomonas sp. Tri1,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,-,Bacteria
182,Paenibacillus polymyxa,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
5,Gallus gallus,Gallus,Phasianidae,Galliformes,Aves,Chordata,Metazoa,Eukaryota
3,Microbacterium sp. NIBRBAC000506063,Microbacterium,Microbacteriaceae,Micrococcales,Actinomycetia,Actinobacteria,-,Bacteria
7,Rhizobacter sp. AJA081-3,Rhizobacter,-,Burkholderiales,Betaproteobacteria,Proteobacteria,-,Bacteria
201,Lysinibacillus sphaericus,Lysinibacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
1,Pusillimonas faecalis,Pusillimonas (ex Kitahara et al. 2021),Oscillospiraceae,Eubacteriales,Clostridia,Firmicutes,-,Bacteria
2,Erwinia gerundensis,Erwinia,Erwiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,-,Bacteria
3,Cygnus olor,Cygnus,Anatidae,Anseriformes,Aves,Chordata,Metazoa,Eukaryota
1,Trichoderma asperellum,Trichoderma,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukaryota
2,Muricauda sp.,Muricauda,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,-,Bacteria
1,Kocuria rhizophila,Kocuria,Micrococcaceae,Micrococcales,Actinomycetia,Actinobacteria,-,Bacteria
2,Rosa chinensis,Rosa,Rosaceae,Rosales,Magnoliopsida,Streptophyta,Viridiplantae,Eukaryota
21,Rhodococcus qingshengii,Rhodococcus,Nocardiaceae,Corynebacteriales,Actinomycetia,Actinobacteria,-,Bacteria
269,Pseudomonas rhodesiae,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,-,Bacteria
1,Paenibacillaceae bacterium,-,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
1,Clostera curtula,Clostera,Notodontidae,Lepidoptera,Insecta,Arthropoda,Metazoa,Eukaryota
2,Nitratireductor sp.,Nitratireductor,Phyllobacteriaceae,Hyphomicrobiales,Alphaproteobacteria,Proteobacteria,-,Bacteria
2014,Pseudomonas protegens,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,-,Bacteria
3,Polymorphospora rubra,Polymorphospora,Micromonosporaceae,Micromonosporales,Actinomycetia,Actinobacteria,-,Bacteria
14,Dolosigranulum pigrum,Dolosigranulum,Carnobacteriaceae,Lactobacillales,Bacilli,Firmicutes,-,Bacteria
1,Pseudo-nitzschia mannii,Pseudo-nitzschia,Bacillariaceae,Bacillariales,Bacillariophyceae,Bacillariophyta,-,Eukaryota
1,Oryza brachyantha,Oryza,Poaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,Eukaryota
1,Vespula vulgaris,Vespula,Vespidae,Hymenoptera,Insecta,Arthropoda,Metazoa,Eukaryota
2,Desulfovibrio desulfuricans,Desulfovibrio,Desulfovibrionaceae,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,-,Bacteria
1,Chromobacterium aquaticum,Chromobacterium,Chromobacteriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,-,Bacteria
1,Macrophomina phaseolina,Macrophomina,Botryosphaeriaceae,Botryosphaeriales,Dothideomycetes,Ascomycota,Fungi,Eukaryota
1,Cryomorphaceae bacterium,-,Cryomorphaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,-,Bacteria
3,Domibacillus sp.,Domibacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,-,Bacteria
223,uncultured actinobacterium,-,-,-,Actinomycetia,Actinobacteria,-,Bacteria
2,Akkermansiaceae bacterium,-,Akkermansiaceae,Verrucomicrobiales,Verrucomicrobiae,Verrucomicrobia,-,Bacteria
1,uncultured Nitrospirae bacterium,-,-,-,-,Nitrospirae,-,Bacteria
