Taxon,Count
Dikarya,240
Bacteroidia,137
Planctomycetota,233
Leotiomycetes,47
Acidothermaceae,46
Chitinophagales,61
uncultured,1028
Patescibacteria,206
Bdellovibrionales,9
Sumerlaea,2
Jatrophihabitans,35
Obscuribacterales,3
RCP2-54,12
Omnitrophales,9
SM2D12,12
Pseudomonas sp.,12
Sumerlaeota,2
Paenibacillaceae,161
Gemmatimonadales,39
Frankiaceae,42
Fimbriimonadaceae,5
Bacteriovoracaceae,2
Haliangium,66
Mortierellales,50
Ellin516,8
Paenibacillus odorifer,10
Paenibacillus sp. FSL H7-0737,6
SBR1031,29
Pseudomonas graminis,2
Candidatus Solibacter usitatus Ellin6076,2
Mortierella,43
Haliangiaceae,66
Anaerolineaceae,32
Polyangia,129
uncultured Conexibacteraceae bacterium,9
Pseudomonas coleopterorum,2
uncultured beta proteobacterium,34
Dongiales,4
uncultured Armatimonadetes bacterium,4
Desulfobacterota,77
Micrococcales,87
Fungi,316
Solibacterales,65
Solirubrobacterales,119
Solibacteraceae,65
uncultured Pseudomonas sp.,12
Actinobacteria,400
Bdellovibrionota,49
Candidatus Koribacter,30
Candidatus Omnitrophus,8
Gemmatimonadetes,39
Verrucomicrobiae,172
Tepidisphaerales,43
Desulfosarcinaceae,4
uncultured Alphaproteobacteria bacterium,45
Vicinamibacterales,48
uncultured fungus,36
bacterium Ellin6517,2
Subgroup 2,91
zygomycete sp. AM-2008a,5
uncultured Longilinea sp.,2
Desulfobacterales,5
Acidobacteriota,566
Pseudomonas chlororaphis,3
Bryobacter,56
Thermoleophilia,246
Xanthobacteraceae,219
Verrucomicrobiota,256
uncultured Acidobacteriaceae bacterium,6
Yersiniaceae,24
Desulfobacteria,6
Anaerolineales,32
SAR,59
FCPU426,3
Acidobacteriaceae (Subgroup 1),62
uncultured alveolate,2
Mortierellaceae,43
Micropepsaceae,33
Bacteriovoracales,2
Polyangiaceae,32
Pseudomonas sp. GD100,2
Microgenomatia,36
Acidobacteriae,437
Koribacteraceae,30
Candelariales,2
Acidothermus,46
Xiphinematobacteraceae,8
Candidatus Xiphinematobacter,8
A21b,9
Fimbriimonadia,5
Paenibacillus,159
Vicinamibacteraceae,5
Myrothecium,3
uncultured soil bacterium,72
Stachybotryaceae,3
Eukaryota,530
Rhizobiales Incertae Sedis,28
Chthonomonas,5
uncultured proteobacterium,16
uncultured Desulfobacca sp.,2
Leptolinea,6
Bryobacteraceae,56
uncultured gamma proteobacterium,26
Planctomycetes,159
Pycnora sorophora,2
Cyanobacteria,72
Puia,8
Pectobacteriaceae,10
Serratia,20
Agaricomycotina,75
Mucoromycota,63
Pseudomonadaceae,400
Pseudomonas sp. S0-17,2
Firmicutes,368
Klebsiella,8
Lacunisphaera,21
Elsterales,25
Helotiales,38
Chthoniobacteraceae,46
Parcubacteria,70
Vampirivibrionia,5
Pseudomonas simiae,2
Paenibacillus sp. AD87,5
Pseudomonadales,406
Pseudolabrys,51
Enterobacteriaceae,17
Gemmatimonadaceae,39
Pseudomonas filiscindens,2
CPla-3 termite group,5
Agaricomycetes,57
Bdellovibrionia,11
Paenibacillus borealis,17
WD2101 soil group,38
Desulfuromonadia,13
Candidatus Pacebacteria,3
Mortierella verticillata,2
A31,3
